transaction_id,is_fraud,fraud_score,fraud_type,detection_method,time_to_detection_hours
TXN00049132,0,0.016,,,
TXN00039540,0,0.28,,,
TXN00036819,0,0.227,,,
TXN00035904,0,0.236,,,
TXN00002328,0,0.105,,,
TXN00024109,0,0.146,,,
TXN00044956,0,0.017,,,
TXN00035620,0,0.189,,,
TXN00029074,0,0.215,,,
TXN00003218,0,0.177,,,
TXN00041925,0,0.256,,,
TXN00010365,0,0.273,,,
TXN00023531,0,0.117,,,
TXN00039182,0,0.145,,,
TXN00029473,0,0.22,,,
TXN00035387,0,0.127,,,
TXN00014229,0,0.009,,,
TXN00036033,0,0.085,,,
TXN00042153,0,0.089,,,
TXN00046630,0,0.23,,,
TXN00049736,0,0.035,,,
TXN00033198,0,0.072,,,
TXN00023358,0,0.066,,,
TXN00013153,0,0.022,,,
TXN00043515,0,0.009,,,
TXN00042498,0,0.272,,,
TXN00019030,0,0.136,,,
TXN00030520,0,0.111,,,
TXN00045737,0,0.212,,,
TXN00044186,0,0.03,,,
TXN00033631,0,0.05,,,
TXN00040821,0,0.124,,,
TXN00011032,0,0.229,,,
TXN00007915,0,0.174,,,
TXN00021504,0,0.193,,,
TXN00034354,0,0.036,,,
TXN00021821,0,0.103,,,
TXN00038824,0,0.073,,,
TXN00020813,0,0.085,,,
TXN00035624,0,0.145,,,
TXN00041217,0,0.213,,,
TXN00029411,0,0.111,,,
TXN00012815,0,0.114,,,
TXN00033623,0,0.017,,,
TXN00037341,0,0.196,,,
TXN00021807,0,0.127,,,
TXN00047232,0,0.24,,,
TXN00020369,0,0.129,,,
TXN00046085,0,0.003,,,
TXN00009707,0,0.197,,,
TXN00034341,0,0.272,,,
TXN00046025,0,0.21,,,
TXN00040905,0,0.181,,,
TXN00037429,0,0.005,,,
TXN00035830,0,0.041,,,
TXN00020316,0,0.12,,,
TXN00028901,0,0.016,,,
TXN00013026,0,0.255,,,
TXN00048999,0,0.189,,,
TXN00010667,0,0.239,,,
TXN00038631,0,0.282,,,
TXN00038987,0,0.207,,,
TXN00048254,0,0.2,,,
TXN00012961,0,0.179,,,
TXN00028464,0,0.039,,,
TXN00008481,0,0.03,,,
TXN00025424,0,0.276,,,
TXN00049923,0,0.151,,,
TXN00046080,0,0.115,,,
TXN00029419,0,0.103,,,
TXN00035659,0,0.183,,,
TXN00038136,0,0.085,,,
TXN00023298,0,0.269,,,
TXN00034796,0,0.168,,,
TXN00049399,0,0.29,,,
TXN00041222,0,0.012,,,
TXN00020803,0,0.192,,,
TXN00009934,0,0.268,,,
TXN00025145,0,0.215,,,
TXN00019663,0,0.064,,,
TXN00041790,0,0.139,,,
TXN00024849,0,0.027,,,
TXN00001922,0,0.241,,,
TXN00022074,0,0.206,,,
TXN00015344,0,0.165,,,
TXN00022993,0,0.03,,,
TXN00034049,0,0.081,,,
TXN00041768,0,0.067,,,
TXN00019714,0,0.219,,,
TXN00037359,0,0.018,,,
TXN00037725,0,0.093,,,
TXN00040370,0,0.008,,,
TXN00017322,0,0.14,,,
TXN00006898,0,0.284,,,
TXN00040233,0,0.189,,,
TXN00015683,0,0.257,,,
TXN00006738,0,0.215,,,
TXN00002612,0,0.211,,,
TXN00036881,0,0.203,,,
TXN00043740,0,0.278,,,
TXN00026462,0,0.071,,,
TXN00008874,0,0.05,,,
TXN00021388,0,0.135,,,
TXN00031875,0,0.021,,,
TXN00011982,0,0.102,,,
TXN00049208,0,0.212,,,
TXN00030762,0,0.086,,,
TXN00039436,0,0.042,,,
TXN00048650,0,0.183,,,
TXN00011352,0,0.172,,,
TXN00049236,0,0.187,,,
TXN00047614,0,0.2,,,
TXN00039005,0,0.276,,,
TXN00006123,0,0.015,,,
TXN00015369,0,0.225,,,
TXN00023453,0,0.295,,,
TXN00008407,0,0.123,,,
TXN00039418,0,0.044,,,
TXN00048957,0,0.113,,,
TXN00016001,0,0.075,,,
TXN00048371,0,0.104,,,
TXN00043230,0,0.279,,,
TXN00013086,0,0.194,,,
TXN00019052,0,0.17,,,
TXN00018747,0,0.06,,,
TXN00004412,0,0.206,,,
TXN00017175,0,0.207,,,
TXN00040861,0,0.133,,,
TXN00017173,0,0.188,,,
TXN00036003,0,0.049,,,
TXN00011927,0,0.021,,,
TXN00013138,0,0.045,,,
TXN00011567,0,0.056,,,
TXN00002633,0,0.273,,,
TXN00045395,0,0.219,,,
TXN00037381,0,0.171,,,
TXN00023219,0,0.101,,,
TXN00045912,0,0.277,,,
TXN00011996,0,0.163,,,
TXN00023539,0,0.093,,,
TXN00047865,0,0.189,,,
TXN00013201,0,0.017,,,
TXN00000822,0,0.266,,,
TXN00036799,0,0.085,,,
TXN00001427,0,0.158,,,
TXN00018881,0,0.192,,,
TXN00037106,0,0.213,,,
TXN00014298,0,0.279,,,
TXN00025117,0,0.056,,,
TXN00000209,0,0.114,,,
TXN00039877,0,0.027,,,
TXN00009866,0,0.239,,,
TXN00028392,0,0.102,,,
TXN00042376,0,0.077,,,
TXN00047012,0,0.107,,,
TXN00031631,0,0.124,,,
TXN00042880,0,0.063,,,
TXN00010776,0,0.096,,,
TXN00037771,0,0.06,,,
TXN00036892,0,0.122,,,
TXN00023597,0,0.181,,,
TXN00031295,0,0.258,,,
TXN00035745,0,0.181,,,
TXN00010031,0,0.211,,,
TXN00009487,0,0.045,,,
TXN00010911,0,0.277,,,
TXN00009180,0,0.247,,,
TXN00038412,0,0.259,,,
TXN00008953,0,0.087,,,
TXN00042365,0,0.165,,,
TXN00035638,0,0.045,,,
TXN00019317,0,0.256,,,
TXN00003318,0,0.292,,,
TXN00001902,0,0.187,,,
TXN00000073,0,0.084,,,
TXN00027475,0,0.165,,,
TXN00024396,0,0.148,,,
TXN00002295,0,0.118,,,
TXN00028365,0,0.059,,,
TXN00040063,0,0.094,,,
TXN00032315,0,0.281,,,
TXN00048165,0,0.126,,,
TXN00006572,0,0.056,,,
TXN00015972,0,0.152,,,
TXN00011792,0,0.022,,,
TXN00011747,0,0.121,,,
TXN00034896,0,0.204,,,
TXN00016658,0,0.079,,,
TXN00043707,1,0.966,friendly_fraud,ml_model,12.690619354372746
TXN00049547,0,0.146,,,
TXN00025449,0,0.218,,,
TXN00026107,0,0.188,,,
TXN00046319,0,0.04,,,
TXN00042920,0,0.252,,,
TXN00049803,0,0.195,,,
TXN00001484,0,0.15,,,
TXN00026638,0,0.211,,,
TXN00007723,0,0.23,,,
TXN00038915,0,0.257,,,
TXN00022391,0,0.001,,,
TXN00037806,0,0.259,,,
TXN00037928,0,0.256,,,
TXN00028127,0,0.298,,,
TXN00021115,0,0.155,,,
TXN00001169,0,0.093,,,
TXN00015521,0,0.099,,,
TXN00024880,0,0.0,,,
TXN00043381,0,0.164,,,
TXN00004901,0,0.21,,,
TXN00012988,0,0.166,,,
TXN00032576,0,0.109,,,
TXN00048556,0,0.139,,,
TXN00025285,0,0.18,,,
TXN00046432,0,0.017,,,
TXN00035956,0,0.139,,,
TXN00022002,0,0.127,,,
TXN00021252,0,0.106,,,
TXN00023029,0,0.234,,,
TXN00040979,0,0.183,,,
TXN00004504,0,0.29,,,
TXN00045837,0,0.084,,,
TXN00005340,0,0.104,,,
TXN00033205,0,0.145,,,
TXN00012446,0,0.023,,,
TXN00016328,0,0.091,,,
TXN00026249,0,0.029,,,
TXN00036677,0,0.04,,,
TXN00038105,0,0.198,,,
TXN00015225,0,0.218,,,
TXN00003913,0,0.019,,,
TXN00038155,0,0.046,,,
TXN00010292,0,0.195,,,
TXN00035907,0,0.265,,,
TXN00004771,0,0.032,,,
TXN00006954,0,0.096,,,
TXN00008181,0,0.216,,,
TXN00040997,0,0.18,,,
TXN00017337,0,0.127,,,
TXN00022759,0,0.117,,,
TXN00041749,0,0.085,,,
TXN00030324,0,0.197,,,
TXN00000129,1,0.778,stolen_card,manual_review,60.56622912696227
TXN00048745,0,0.114,,,
TXN00003745,0,0.294,,,
TXN00010017,0,0.015,,,
TXN00005948,0,0.08,,,
TXN00024492,0,0.299,,,
TXN00033133,0,0.214,,,
TXN00031243,0,0.129,,,
TXN00046709,0,0.143,,,
TXN00032791,0,0.142,,,
TXN00005236,0,0.162,,,
TXN00006351,0,0.211,,,
TXN00035141,0,0.003,,,
TXN00025212,0,0.118,,,
TXN00032481,0,0.225,,,
TXN00013400,0,0.173,,,
TXN00034737,0,0.299,,,
TXN00048267,0,0.054,,,
TXN00024772,0,0.124,,,
TXN00049535,0,0.274,,,
TXN00031685,0,0.162,,,
TXN00038969,0,0.221,,,
TXN00034701,0,0.113,,,
TXN00030555,0,0.196,,,
TXN00017373,0,0.06,,,
TXN00020430,0,0.121,,,
TXN00026671,0,0.049,,,
TXN00022767,0,0.116,,,
TXN00035558,0,0.055,,,
TXN00011429,0,0.086,,,
TXN00032285,0,0.099,,,
TXN00012658,0,0.233,,,
TXN00046421,0,0.227,,,
TXN00028984,0,0.261,,,
TXN00030403,0,0.055,,,
TXN00017492,0,0.024,,,
TXN00001516,0,0.097,,,
TXN00014899,0,0.108,,,
TXN00030854,0,0.255,,,
TXN00016986,0,0.137,,,
TXN00048786,0,0.13,,,
TXN00045083,0,0.246,,,
TXN00041751,0,0.24,,,
TXN00042617,0,0.122,,,
TXN00019427,0,0.093,,,
TXN00009396,0,0.188,,,
TXN00047589,0,0.175,,,
TXN00045259,0,0.287,,,
TXN00032002,0,0.192,,,
TXN00005863,0,0.034,,,
TXN00039924,0,0.212,,,
TXN00039761,0,0.283,,,
TXN00016893,0,0.143,,,
TXN00040322,0,0.122,,,
TXN00019857,0,0.158,,,
TXN00002762,0,0.201,,,
TXN00039984,0,0.248,,,
TXN00044290,0,0.273,,,
TXN00015996,0,0.174,,,
TXN00013482,0,0.269,,,
TXN00002296,0,0.193,,,
TXN00033302,0,0.227,,,
TXN00032642,0,0.13,,,
TXN00029880,0,0.154,,,
TXN00028934,0,0.142,,,
TXN00037714,1,0.618,chargeback_fraud,manual_review,50.94640557428619
TXN00011284,0,0.223,,,
TXN00005858,0,0.193,,,
TXN00046122,0,0.017,,,
TXN00007575,0,0.019,,,
TXN00003314,0,0.102,,,
TXN00038152,0,0.264,,,
TXN00011771,0,0.016,,,
TXN00034784,0,0.015,,,
TXN00014391,0,0.213,,,
TXN00021637,0,0.219,,,
TXN00038122,0,0.259,,,
TXN00046708,0,0.045,,,
TXN00014228,0,0.026,,,
TXN00026595,0,0.051,,,
TXN00006554,1,0.678,synthetic_identity,rule_based,11.191331213800707
TXN00046209,0,0.136,,,
TXN00037006,0,0.228,,,
TXN00032871,0,0.126,,,
TXN00029935,0,0.28,,,
TXN00010024,0,0.108,,,
TXN00048136,0,0.13,,,
TXN00024888,0,0.251,,,
TXN00010788,0,0.298,,,
TXN00030161,0,0.256,,,
TXN00041857,0,0.253,,,
TXN00012319,0,0.066,,,
TXN00007870,0,0.011,,,
TXN00015114,0,0.039,,,
TXN00002529,0,0.074,,,
TXN00003099,0,0.165,,,
TXN00041912,0,0.088,,,
TXN00002819,0,0.272,,,
TXN00046004,0,0.065,,,
TXN00018400,0,0.246,,,
TXN00027629,0,0.168,,,
TXN00019017,0,0.064,,,
TXN00027449,0,0.165,,,
TXN00040119,0,0.23,,,
TXN00009741,0,0.283,,,
TXN00040019,0,0.179,,,
TXN00010492,0,0.014,,,
TXN00047107,0,0.09,,,
TXN00038391,0,0.274,,,
TXN00048144,0,0.16,,,
TXN00001887,0,0.222,,,
TXN00013589,0,0.093,,,
TXN00045293,0,0.245,,,
TXN00039227,0,0.016,,,
TXN00017842,0,0.06,,,
TXN00017962,0,0.179,,,
TXN00003108,0,0.038,,,
TXN00026630,0,0.052,,,
TXN00040481,0,0.136,,,
TXN00029963,0,0.059,,,
TXN00006534,0,0.258,,,
TXN00009397,0,0.017,,,
TXN00013979,0,0.272,,,
TXN00007863,0,0.202,,,
TXN00032456,0,0.028,,,
TXN00013987,0,0.005,,,
TXN00000206,0,0.209,,,
TXN00022398,0,0.136,,,
TXN00007101,0,0.145,,,
TXN00008592,0,0.268,,,
TXN00022798,0,0.147,,,
TXN00007231,0,0.185,,,
TXN00016353,0,0.295,,,
TXN00031192,0,0.137,,,
TXN00008681,0,0.002,,,
TXN00015682,0,0.284,,,
TXN00033491,0,0.145,,,
TXN00044626,0,0.288,,,
TXN00044283,0,0.235,,,
TXN00031437,0,0.037,,,
TXN00005384,0,0.043,,,
TXN00013812,0,0.089,,,
TXN00022899,0,0.022,,,
TXN00020649,0,0.118,,,
TXN00031586,0,0.047,,,
TXN00010487,0,0.039,,,
TXN00029298,0,0.097,,,
TXN00002693,0,0.047,,,
TXN00045519,0,0.259,,,
TXN00011769,0,0.208,,,
TXN00028046,0,0.132,,,
TXN00006484,0,0.049,,,
TXN00006504,0,0.061,,,
TXN00032302,0,0.057,,,
TXN00032287,0,0.228,,,
TXN00018725,0,0.278,,,
TXN00021658,0,0.155,,,
TXN00025110,0,0.165,,,
TXN00003272,0,0.046,,,
TXN00004757,0,0.063,,,
TXN00008895,0,0.007,,,
TXN00022801,0,0.002,,,
TXN00015878,0,0.281,,,
TXN00003711,0,0.236,,,
TXN00043265,0,0.086,,,
TXN00017247,0,0.118,,,
TXN00017833,0,0.071,,,
TXN00028034,0,0.231,,,
TXN00005475,0,0.29,,,
TXN00033224,0,0.013,,,
TXN00021096,0,0.142,,,
TXN00024630,0,0.151,,,
TXN00041136,0,0.036,,,
TXN00024459,0,0.033,,,
TXN00041393,0,0.044,,,
TXN00002350,0,0.02,,,
TXN00046619,0,0.26,,,
TXN00019518,0,0.296,,,
TXN00040573,0,0.172,,,
TXN00047134,0,0.003,,,
TXN00019849,0,0.176,,,
TXN00041418,0,0.043,,,
TXN00001284,0,0.206,,,
TXN00018436,0,0.207,,,
TXN00047071,0,0.186,,,
TXN00013005,0,0.236,,,
TXN00034034,0,0.042,,,
TXN00024720,0,0.275,,,
TXN00047629,0,0.058,,,
TXN00022768,0,0.019,,,
TXN00042105,0,0.225,,,
TXN00001744,0,0.109,,,
TXN00046632,0,0.04,,,
TXN00019552,1,0.903,synthetic_identity,ml_model,1.7204674900130974
TXN00012900,0,0.19,,,
TXN00011391,0,0.132,,,
TXN00031755,0,0.241,,,
TXN00015185,0,0.188,,,
TXN00038206,0,0.082,,,
TXN00033572,0,0.071,,,
TXN00015366,0,0.092,,,
TXN00035280,0,0.149,,,
TXN00003783,0,0.177,,,
TXN00025206,0,0.09,,,
TXN00028203,0,0.177,,,
TXN00048130,0,0.065,,,
TXN00026237,0,0.3,,,
TXN00008253,0,0.264,,,
TXN00032255,0,0.238,,,
TXN00022540,0,0.151,,,
TXN00000946,0,0.056,,,
TXN00028208,0,0.139,,,
TXN00021238,0,0.101,,,
TXN00005302,0,0.212,,,
TXN00000408,0,0.007,,,
TXN00030443,0,0.165,,,
TXN00011910,0,0.267,,,
TXN00022390,0,0.149,,,
TXN00004688,0,0.115,,,
TXN00024551,0,0.287,,,
TXN00049909,0,0.092,,,
TXN00043020,0,0.158,,,
TXN00010256,0,0.08,,,
TXN00001265,0,0.073,,,
TXN00041603,0,0.167,,,
TXN00008964,0,0.041,,,
TXN00045753,0,0.105,,,
TXN00008985,0,0.083,,,
TXN00021811,0,0.152,,,
TXN00029803,0,0.19,,,
TXN00025904,0,0.175,,,
TXN00018598,0,0.045,,,
TXN00013802,0,0.0,,,
TXN00002978,0,0.187,,,
TXN00010719,0,0.149,,,
TXN00039793,0,0.268,,,
TXN00002361,0,0.144,,,
TXN00041387,0,0.205,,,
TXN00027756,0,0.225,,,
TXN00036095,0,0.101,,,
TXN00032555,0,0.173,,,
TXN00007598,0,0.241,,,
TXN00029273,0,0.288,,,
TXN00028180,0,0.121,,,
TXN00012290,0,0.05,,,
TXN00027205,0,0.05,,,
TXN00008424,0,0.029,,,
TXN00046527,0,0.216,,,
TXN00047734,0,0.058,,,
TXN00003965,0,0.244,,,
TXN00039892,0,0.147,,,
TXN00011296,0,0.194,,,
TXN00021243,0,0.049,,,
TXN00009381,1,0.879,chargeback_fraud,customer_report,9.787863785786882
TXN00000457,0,0.019,,,
TXN00049161,0,0.279,,,
TXN00021188,0,0.245,,,
TXN00047241,0,0.015,,,
TXN00023357,0,0.124,,,
TXN00019015,0,0.039,,,
TXN00044435,0,0.28,,,
TXN00033360,0,0.189,,,
TXN00011841,0,0.143,,,
TXN00048490,0,0.106,,,
TXN00008694,0,0.155,,,
TXN00037393,0,0.127,,,
TXN00018361,0,0.246,,,
TXN00015314,0,0.081,,,
TXN00002225,0,0.026,,,
TXN00014702,0,0.104,,,
TXN00002132,0,0.246,,,
TXN00039469,0,0.108,,,
TXN00012206,0,0.242,,,
TXN00030578,0,0.205,,,
TXN00016816,0,0.176,,,
TXN00001753,0,0.055,,,
TXN00035679,0,0.161,,,
TXN00049180,0,0.219,,,
TXN00000471,0,0.004,,,
TXN00021775,0,0.269,,,
TXN00001800,0,0.237,,,
TXN00023125,0,0.226,,,
TXN00003008,0,0.117,,,
TXN00027358,0,0.277,,,
TXN00037821,0,0.044,,,
TXN00036919,0,0.211,,,
TXN00033174,0,0.165,,,
TXN00034378,0,0.244,,,
TXN00036088,0,0.003,,,
TXN00009943,0,0.043,,,
TXN00041483,0,0.201,,,
TXN00031402,0,0.119,,,
TXN00032501,0,0.047,,,
TXN00002818,0,0.271,,,
TXN00005070,0,0.152,,,
TXN00015351,0,0.196,,,
TXN00030808,0,0.173,,,
TXN00025824,0,0.073,,,
TXN00046071,0,0.127,,,
TXN00038390,0,0.123,,,
TXN00005991,0,0.175,,,
TXN00049038,0,0.264,,,
TXN00037888,0,0.197,,,
TXN00041502,0,0.139,,,
TXN00045570,0,0.248,,,
TXN00021684,0,0.004,,,
TXN00040610,0,0.232,,,
TXN00014292,0,0.289,,,
TXN00036283,0,0.159,,,
TXN00018158,0,0.008,,,
TXN00017778,0,0.148,,,
TXN00006813,0,0.213,,,
TXN00012527,0,0.265,,,
TXN00027505,0,0.264,,,
TXN00029284,0,0.293,,,
TXN00007478,1,0.622,account_takeover,customer_report,7.436231692697922
TXN00039499,0,0.039,,,
TXN00037292,0,0.005,,,
TXN00039317,0,0.079,,,
TXN00007784,0,0.292,,,
TXN00019382,0,0.258,,,
TXN00018388,0,0.119,,,
TXN00000899,0,0.266,,,
TXN00008865,0,0.004,,,
TXN00020573,0,0.169,,,
TXN00000841,0,0.068,,,
TXN00004156,0,0.184,,,
TXN00034715,0,0.274,,,
TXN00049283,0,0.093,,,
TXN00031645,0,0.231,,,
TXN00035906,0,0.131,,,
TXN00004813,0,0.199,,,
TXN00027274,0,0.179,,,
TXN00039688,0,0.269,,,
TXN00038415,0,0.172,,,
TXN00018905,0,0.264,,,
TXN00004547,0,0.135,,,
TXN00010675,0,0.073,,,
TXN00038393,0,0.224,,,
TXN00027226,0,0.107,,,
TXN00015383,0,0.214,,,
TXN00043802,0,0.064,,,
TXN00005986,0,0.032,,,
TXN00019327,0,0.117,,,
TXN00030865,0,0.184,,,
TXN00025895,0,0.254,,,
TXN00037818,0,0.048,,,
TXN00017340,0,0.135,,,
TXN00026742,0,0.19,,,
TXN00027729,0,0.13,,,
TXN00003118,0,0.108,,,
TXN00014483,0,0.183,,,
TXN00013888,0,0.017,,,
TXN00013782,0,0.234,,,
TXN00039432,0,0.059,,,
TXN00036426,0,0.223,,,
TXN00048361,0,0.258,,,
TXN00021132,0,0.191,,,
TXN00008266,0,0.119,,,
TXN00004097,0,0.039,,,
TXN00041061,1,0.925,synthetic_identity,ml_model,17.748717319101292
TXN00012157,0,0.019,,,
TXN00013761,0,0.282,,,
TXN00046458,0,0.168,,,
TXN00028886,0,0.111,,,
TXN00020875,0,0.089,,,
TXN00010016,0,0.095,,,
TXN00026214,1,0.731,account_takeover,rule_based,54.38657880211656
TXN00007850,0,0.11,,,
TXN00038622,0,0.147,,,
TXN00002534,0,0.088,,,
TXN00020236,0,0.248,,,
TXN00037184,0,0.094,,,
TXN00034572,0,0.287,,,
TXN00011862,0,0.058,,,
TXN00041770,0,0.28,,,
TXN00028732,0,0.216,,,
TXN00035319,0,0.298,,,
TXN00003420,0,0.15,,,
TXN00015925,0,0.093,,,
TXN00038556,0,0.041,,,
TXN00005347,0,0.13,,,
TXN00047203,0,0.188,,,
TXN00026007,0,0.037,,,
TXN00039985,0,0.096,,,
TXN00021034,0,0.013,,,
TXN00032223,0,0.059,,,
TXN00039548,0,0.091,,,
TXN00048895,0,0.258,,,
TXN00033483,0,0.125,,,
TXN00021398,0,0.016,,,
TXN00023368,0,0.081,,,
TXN00002683,0,0.012,,,
TXN00023669,0,0.203,,,
TXN00000333,0,0.235,,,
TXN00041512,0,0.261,,,
TXN00049693,0,0.061,,,
TXN00037039,0,0.068,,,
TXN00000564,0,0.077,,,
TXN00010136,0,0.112,,,
TXN00029512,0,0.104,,,
TXN00036567,0,0.268,,,
TXN00029867,0,0.136,,,
TXN00023362,0,0.201,,,
TXN00036442,0,0.113,,,
TXN00043668,0,0.263,,,
TXN00003088,0,0.012,,,
TXN00000245,0,0.003,,,
TXN00008066,0,0.004,,,
TXN00008619,0,0.149,,,
TXN00011030,0,0.246,,,
TXN00019892,0,0.119,,,
TXN00032729,0,0.296,,,
TXN00022264,0,0.107,,,
TXN00043658,1,0.934,synthetic_identity,manual_review,5.673999603344355
TXN00014160,0,0.2,,,
TXN00035139,0,0.131,,,
TXN00017708,0,0.086,,,
TXN00036930,0,0.095,,,
TXN00043245,0,0.262,,,
TXN00035971,0,0.214,,,
TXN00003067,0,0.039,,,
TXN00047887,0,0.161,,,
TXN00018992,1,0.904,friendly_fraud,manual_review,2.995031171171468
TXN00009836,0,0.176,,,
TXN00029450,0,0.201,,,
TXN00022122,0,0.068,,,
TXN00012148,0,0.18,,,
TXN00042518,0,0.156,,,
TXN00010750,0,0.085,,,
TXN00009793,0,0.143,,,
TXN00024379,0,0.245,,,
TXN00012453,0,0.213,,,
TXN00008470,0,0.011,,,
TXN00048808,0,0.096,,,
TXN00045063,0,0.031,,,
TXN00037069,0,0.243,,,
TXN00016873,0,0.085,,,
TXN00028349,0,0.192,,,
TXN00044017,0,0.046,,,
TXN00043054,0,0.175,,,
TXN00045371,0,0.149,,,
TXN00006686,0,0.016,,,
TXN00049037,0,0.022,,,
TXN00009192,0,0.143,,,
TXN00012525,0,0.023,,,
TXN00035171,0,0.113,,,
TXN00027963,0,0.184,,,
TXN00016348,0,0.113,,,
TXN00005134,0,0.205,,,
TXN00021619,0,0.217,,,
TXN00034681,0,0.091,,,
TXN00018100,0,0.252,,,
TXN00048873,0,0.058,,,
TXN00004136,0,0.233,,,
TXN00043568,0,0.157,,,
TXN00035318,0,0.141,,,
TXN00008213,0,0.07,,,
TXN00033178,0,0.271,,,
TXN00015760,0,0.1,,,
TXN00035252,0,0.095,,,
TXN00021112,0,0.269,,,
TXN00046891,0,0.016,,,
TXN00017637,1,0.883,synthetic_identity,ml_model,5.0371769918693605
TXN00031158,0,0.225,,,
TXN00004056,0,0.181,,,
TXN00014028,0,0.297,,,
TXN00049123,0,0.28,,,
TXN00029728,0,0.263,,,
TXN00049360,0,0.059,,,
TXN00002704,0,0.268,,,
TXN00014819,0,0.25,,,
TXN00039341,0,0.293,,,
TXN00042038,0,0.04,,,
TXN00046506,0,0.006,,,
TXN00018718,0,0.023,,,
TXN00011649,0,0.247,,,
TXN00000172,0,0.202,,,
TXN00021756,0,0.146,,,
TXN00037102,0,0.219,,,
TXN00024013,0,0.173,,,
TXN00030363,0,0.29,,,
TXN00014778,0,0.183,,,
TXN00025785,0,0.07,,,
TXN00044514,0,0.018,,,
TXN00005844,0,0.254,,,
TXN00020607,0,0.11,,,
TXN00035696,0,0.056,,,
TXN00003946,0,0.116,,,
TXN00005982,0,0.05,,,
TXN00020914,0,0.152,,,
TXN00040437,0,0.119,,,
TXN00005785,0,0.107,,,
TXN00023861,0,0.067,,,
TXN00049049,0,0.131,,,
TXN00035627,0,0.016,,,
TXN00016365,0,0.003,,,
TXN00015061,0,0.285,,,
TXN00012502,0,0.265,,,
TXN00049905,0,0.272,,,
TXN00040183,0,0.186,,,
TXN00030489,0,0.243,,,
TXN00022329,0,0.203,,,
TXN00044265,0,0.01,,,
TXN00034276,0,0.043,,,
TXN00016290,0,0.105,,,
TXN00041579,0,0.034,,,
TXN00013002,0,0.005,,,
TXN00032529,0,0.29,,,
TXN00031657,0,0.094,,,
TXN00015240,0,0.049,,,
TXN00025044,0,0.036,,,
TXN00035890,0,0.01,,,
TXN00002709,0,0.068,,,
TXN00005639,0,0.227,,,
TXN00032549,0,0.219,,,
TXN00048372,0,0.132,,,
TXN00016390,0,0.21,,,
TXN00040903,0,0.048,,,
TXN00040982,0,0.133,,,
TXN00026884,0,0.207,,,
TXN00016852,0,0.093,,,
TXN00042284,0,0.219,,,
TXN00024716,0,0.25,,,
TXN00049667,0,0.195,,,
TXN00013619,0,0.196,,,
TXN00018761,0,0.228,,,
TXN00049605,0,0.293,,,
TXN00047807,0,0.035,,,
TXN00039845,0,0.084,,,
TXN00016104,0,0.283,,,
TXN00037165,0,0.038,,,
TXN00014763,0,0.037,,,
TXN00045928,0,0.222,,,
TXN00013373,0,0.265,,,
