date,daily_transaction_volume,daily_revenue_usd,daily_new_customers,customer_churn_rate_pct,avg_response_time_ms,system_uptime_pct,fraud_detection_rate_pct,false_positive_rate_pct,year_month
2022-02-03,1062,53144.32,51,2.6,158.8,99.35,87.55,3.83,2022-02
2022-02-04,1022,51149.24,59,2.33,171.9,99.64,80.52,2.39,2022-02
2022-02-05,909,45495.0,51,3.04,141.9,99.23,81.06,3.15,2022-02
2022-02-06,1086,54343.39,46,2.96,139.4,99.65,80.85,3.5,2022-02
2022-02-07,1120,56047.71,41,2.29,166.6,99.18,78.1,2.68,2022-02
2022-02-08,975,48756.87,41,2.15,131.2,99.43,72.05,2.58,2022-02
2022-02-09,1089,54463.49,49,2.45,114.5,99.12,90.35,3.19,2022-02
2022-02-10,1043,52168.65,52,2.23,152.3,99.25,89.3,3.06,2022-02
2022-02-11,1088,54417.77,50,2.73,161.2,99.84,84.72,2.95,2022-02
2022-02-12,1005,50282.99,56,2.15,155.5,99.71,83.12,1.92,2022-02
2022-02-13,1079,53990.17,45,2.3,160.6,99.37,84.33,2.75,2022-02
2022-02-14,1021,51074.44,44,3.07,127.3,99.5,86.0,3.08,2022-02
2022-02-15,1108,55445.79,40,1.83,159.2,99.27,93.78,3.03,2022-02
2022-02-16,1043,52170.26,29,2.05,153.8,99.31,88.39,4.02,2022-02
2022-02-17,1122,56102.56,54,2.19,152.5,99.1,92.86,2.57,2022-02
2022-02-18,1075,53774.33,44,2.81,125.7,99.46,81.15,2.36,2022-02
2022-02-19,1130,56548.35,53,2.64,147.9,99.71,86.61,2.9,2022-02
2022-02-20,1067,53361.47,42,2.24,99.4,99.66,86.93,1.97,2022-02
2022-02-21,1088,54404.68,43,2.52,130.9,99.68,76.93,2.1,2022-02
2022-02-22,1061,53050.72,64,2.66,128.7,99.85,83.7,2.95,2022-02
2022-02-23,1090,54525.72,49,3.14,164.5,99.32,72.67,4.12,2022-02
2022-02-24,1061,53054.1,35,1.83,134.9,99.16,89.4,3.19,2022-02
2022-02-25,1180,59034.13,45,2.65,138.1,99.55,85.49,2.77,2022-02
2022-02-26,1054,52736.14,52,2.46,146.8,99.78,86.17,3.61,2022-02
2022-02-27,1073,53692.22,43,2.62,136.6,99.85,84.45,2.85,2022-02
2022-02-28,1127,56380.15,60,2.6,147.7,99.48,82.19,3.07,2022-02
2022-03-01,1078,53900.66,56,2.03,187.9,99.25,85.71,2.79,2022-03
2022-03-02,1138,56925.51,49,2.95,149.1,99.18,89.87,2.42,2022-03
2022-03-03,1120,56008.73,41,2.21,191.0,99.57,91.14,2.27,2022-03
2022-03-04,1173,58693.13,51,3.1,160.4,99.88,75.95,2.52,2022-03
2022-03-05,1049,52496.44,55,2.05,149.8,99.41,84.92,2.49,2022-03
2022-03-06,1059,52964.06,51,2.92,179.7,99.5,88.06,3.63,2022-03
2022-03-07,1044,52219.67,49,2.01,188.7,99.28,88.64,2.96,2022-03
2022-03-08,1051,52555.32,50,2.42,113.5,99.93,84.59,2.41,2022-03
2022-03-09,1107,55353.54,60,3.02,167.2,99.58,86.52,3.31,2022-03
2022-03-10,1131,56553.54,44,2.28,134.4,99.18,76.53,2.99,2022-03
2022-03-11,1027,51397.87,42,2.59,155.5,99.73,79.89,2.31,2022-03
2022-03-12,1069,53497.4,57,2.42,140.6,99.59,79.74,3.63,2022-03
2022-03-13,1190,59514.33,55,2.34,122.1,99.81,83.04,2.79,2022-03
2022-03-14,1123,56169.38,48,2.64,155.1,99.73,77.41,2.29,2022-03
2022-03-15,1207,60356.14,39,2.25,145.8,99.45,86.82,3.31,2022-03
2022-03-16,1021,51069.14,34,2.28,146.3,99.64,86.48,2.86,2022-03
2022-03-17,1094,54735.36,56,2.84,154.4,99.47,79.35,2.9,2022-03
2022-03-18,1149,57455.78,56,2.52,162.9,99.45,90.97,3.0,2022-03
2022-03-19,1079,53964.09,52,2.04,116.3,99.55,86.59,3.58,2022-03
2022-03-20,1074,53724.64,55,2.48,143.3,99.33,83.62,2.66,2022-03
2022-03-21,1111,55559.35,50,2.17,135.0,99.66,89.71,3.21,2022-03
2022-03-22,1113,55659.43,46,2.19,148.6,99.35,92.02,2.27,2022-03
2022-03-23,1091,54584.96,54,2.5,155.9,99.1,92.82,3.04,2022-03
2022-03-24,1114,55737.94,56,2.03,146.9,99.76,93.0,3.41,2022-03
2022-03-25,1061,53086.35,58,2.1,128.3,99.92,75.85,3.12,2022-03
2022-03-26,1135,56792.33,63,2.41,156.0,99.75,83.33,3.03,2022-03
2022-03-27,1038,51907.29,52,2.66,137.2,98.93,74.2,2.88,2022-03
2022-03-28,1093,54696.19,52,2.38,158.6,99.76,79.35,2.81,2022-03
2022-03-29,1178,58908.6,50,2.66,176.0,99.4,87.03,2.53,2022-03
2022-03-30,1125,56289.15,47,2.51,146.6,99.04,95.05,2.56,2022-03
2022-03-31,1081,54095.53,41,2.33,125.7,99.37,88.12,2.82,2022-03
2022-04-01,1015,50784.58,51,2.08,97.3,99.29,92.1,3.3,2022-04
2022-04-02,1142,57119.41,53,2.17,169.1,99.5,79.59,3.9,2022-04
2022-04-03,1092,54611.73,63,2.41,166.0,99.5,88.1,3.92,2022-04
2022-04-04,1151,57592.25,51,2.6,145.8,99.97,87.02,3.04,2022-04
2022-04-05,1157,57897.89,38,2.4,158.3,99.86,86.19,2.58,2022-04
2022-04-06,1132,56621.44,52,2.96,132.4,98.97,78.35,2.68,2022-04
2022-04-07,1086,54302.67,49,2.05,148.8,99.54,81.18,2.92,2022-04
2022-04-08,1132,56610.97,56,2.41,140.1,99.07,79.05,3.09,2022-04
2022-04-09,1040,52017.75,61,2.14,145.1,98.77,77.18,2.85,2022-04
2022-04-10,1088,54400.35,46,2.42,155.8,99.82,75.17,3.19,2022-04
2022-04-11,1097,54882.29,45,2.56,143.1,99.28,85.4,2.92,2022-04
2022-04-12,1091,54582.82,60,2.56,122.3,99.72,84.16,2.84,2022-04
2022-04-13,1080,54031.15,52,2.57,163.6,99.68,77.56,2.9,2022-04
2022-04-14,1076,53827.94,48,2.68,144.6,99.99,88.97,3.02,2022-04
2022-04-15,1089,54490.01,47,2.69,141.8,99.66,93.18,2.73,2022-04
2022-04-16,1123,56171.84,55,2.01,112.8,99.74,88.03,2.53,2022-04
2022-04-17,1142,57144.18,47,2.76,148.2,99.08,83.76,2.89,2022-04
2022-04-18,1148,57426.29,39,2.54,155.4,99.54,80.74,3.74,2022-04
2022-04-19,1088,54423.62,49,2.66,203.7,99.51,83.66,4.4,2022-04
2022-04-20,1182,59138.73,51,2.4,161.2,99.29,85.65,2.95,2022-04
2022-04-21,1144,57213.82,47,1.86,141.5,99.34,83.9,2.93,2022-04
2022-04-22,1158,57941.52,47,2.47,156.0,99.51,93.23,3.64,2022-04
2022-04-23,1021,51091.1,49,2.57,149.9,99.55,97.82,2.58,2022-04
2022-04-24,1110,55515.79,67,3.0,167.2,99.49,81.21,3.56,2022-04
2022-04-25,1123,56195.55,60,2.46,130.4,99.29,89.63,3.3,2022-04
2022-04-26,1119,55975.02,56,2.18,178.1,99.06,85.84,2.6,2022-04
2022-04-27,1021,51054.36,51,2.34,136.1,99.57,83.24,2.56,2022-04
2022-04-28,1100,55035.79,51,2.18,138.8,99.5,84.23,3.35,2022-04
2022-04-29,1159,57969.14,51,2.4,167.0,99.69,79.98,3.12,2022-04
2022-04-30,1135,56783.36,49,2.97,147.0,99.53,88.3,2.54,2022-04
2022-05-01,1109,55479.38,53,2.71,119.1,99.78,80.55,3.4,2022-05
2022-05-02,1039,51967.86,49,2.69,136.6,99.1,88.49,2.99,2022-05
2022-05-03,1194,59749.81,52,2.61,135.2,99.69,84.88,3.2,2022-05
2022-05-04,1085,54278.72,50,2.73,127.7,99.17,70.13,3.5,2022-05
2022-05-05,1058,52939.48,52,2.07,136.3,99.73,78.82,2.55,2022-05
2022-05-06,1074,53739.39,52,2.4,126.6,99.62,79.24,3.26,2022-05
2022-05-07,1075,53755.03,43,2.44,133.8,99.4,83.49,3.02,2022-05
2022-05-08,1091,54562.11,50,2.12,167.5,98.96,79.52,3.55,2022-05
2022-05-09,1007,50358.97,56,2.55,145.5,99.31,90.24,2.77,2022-05
2022-05-10,1191,59583.62,45,2.71,166.5,99.4,83.29,2.81,2022-05
2022-05-11,1084,54224.92,38,2.36,106.6,99.33,82.65,2.35,2022-05
2022-05-12,1059,52982.67,54,1.69,158.0,99.37,87.48,3.18,2022-05
2022-05-13,1050,52537.7,55,2.93,150.6,100.0,81.12,3.15,2022-05
2022-05-14,1055,52784.19,51,1.87,138.4,99.98,84.49,2.75,2022-05
2022-05-15,1086,54305.39,52,2.29,146.4,99.16,84.31,2.26,2022-05
2022-05-16,1148,57445.15,46,3.35,138.1,98.95,84.62,2.71,2022-05
2022-05-17,1134,56707.91,42,2.43,160.3,99.76,88.04,3.29,2022-05
2022-05-18,1144,57224.56,47,2.57,166.5,99.01,85.33,2.95,2022-05
2022-05-19,1156,57817.15,51,2.77,156.5,99.6,80.14,2.77,2022-05
2022-05-20,1108,55446.57,56,2.48,197.2,99.14,81.72,2.95,2022-05
2022-05-21,1026,51304.5,51,2.81,168.5,99.46,92.96,2.47,2022-05
2022-05-22,1113,55660.04,58,2.16,162.4,99.3,73.19,2.69,2022-05
2022-05-23,1105,55285.3,42,2.88,147.5,99.69,78.36,2.6,2022-05
2022-05-24,1049,52451.12,40,3.0,161.4,99.86,93.42,2.67,2022-05
2022-05-25,1100,55027.95,44,2.87,145.5,100.0,95.52,2.53,2022-05
2022-05-26,1024,51208.06,54,2.26,175.9,99.66,88.14,3.77,2022-05
2022-05-27,1011,50595.1,43,2.51,185.4,99.3,90.31,3.03,2022-05
2022-05-28,1034,51726.29,56,2.63,179.4,99.2,87.97,3.71,2022-05
2022-05-29,993,49687.73,49,2.75,160.6,99.86,87.94,3.25,2022-05
2022-05-30,1101,55088.5,55,3.04,147.3,99.02,81.61,2.65,2022-05
2022-05-31,1035,51752.68,59,2.34,147.5,99.99,77.84,2.94,2022-05
2022-06-01,1075,53795.72,56,2.21,102.4,99.65,81.98,3.55,2022-06
2022-06-02,1058,52929.64,51,1.48,165.6,99.48,86.84,2.49,2022-06
2022-06-03,1011,50567.48,47,2.45,136.5,99.57,89.73,3.1,2022-06
2022-06-04,1006,50348.58,50,2.17,164.7,100.0,75.68,2.09,2022-06
2022-06-05,1019,50973.39,44,2.44,184.7,99.76,91.25,4.18,2022-06
2022-06-06,1069,53485.25,56,2.4,148.5,99.82,82.94,3.0,2022-06
2022-06-07,1059,52968.63,46,2.12,150.0,99.12,85.37,2.43,2022-06
2022-06-08,1066,53318.64,59,2.91,153.9,99.7,87.24,2.6,2022-06
2022-06-09,1073,53654.92,51,2.38,167.3,98.96,82.06,3.04,2022-06
2022-06-10,1062,53146.4,46,2.44,146.0,99.39,87.4,3.53,2022-06
2022-06-11,1114,55742.15,50,2.55,129.4,99.84,83.09,3.16,2022-06
2022-06-12,1123,56186.94,44,2.23,149.8,99.65,86.47,3.44,2022-06
2022-06-13,1134,56708.57,45,2.68,159.4,99.09,73.68,2.66,2022-06
2022-06-14,1052,52607.42,41,2.51,120.5,99.44,83.53,2.24,2022-06
2022-06-15,1054,52728.11,46,2.36,127.2,100.0,84.77,3.06,2022-06
2022-06-16,1066,53311.47,61,2.39,149.4,98.96,86.54,3.22,2022-06
2022-06-17,1089,54487.52,43,2.67,170.0,99.0,86.08,2.92,2022-06
2022-06-18,1043,52180.86,39,2.85,158.0,99.41,80.55,3.12,2022-06
2022-06-19,1032,51626.21,50,2.13,119.4,99.38,81.03,3.2,2022-06
2022-06-20,1105,55261.92,34,2.54,169.0,99.28,88.62,2.78,2022-06
2022-06-21,1142,57147.81,45,2.78,195.7,99.86,85.1,2.93,2022-06
2022-06-22,1015,50759.1,63,2.39,136.5,99.36,82.74,3.03,2022-06
2022-06-23,1093,54692.59,57,2.4,160.0,99.58,83.95,3.25,2022-06
2022-06-24,1032,51631.11,42,2.56,111.4,99.35,84.94,3.07,2022-06
2022-06-25,1048,52404.0,52,2.58,156.7,99.48,86.36,2.74,2022-06
2022-06-26,1092,54649.64,51,2.79,165.4,99.17,79.43,3.16,2022-06
2022-06-27,1124,56227.26,53,3.06,149.3,99.59,79.46,3.24,2022-06
2022-06-28,1099,54951.14,57,2.56,127.3,99.52,83.54,2.98,2022-06
2022-06-29,1125,56283.97,41,2.54,149.9,99.58,86.78,2.78,2022-06
2022-06-30,909,45476.74,49,2.49,155.7,99.66,85.27,3.32,2022-06
2022-07-01,1111,55550.88,50,2.72,159.5,99.59,87.99,2.84,2022-07
2022-07-02,1029,51460.94,58,2.46,149.6,99.83,82.15,3.65,2022-07
2022-07-03,1052,52622.25,55,2.77,163.8,99.1,93.04,2.61,2022-07
2022-07-04,1060,53018.52,50,2.79,129.7,99.73,86.85,3.73,2022-07
2022-07-05,1035,51776.38,44,2.42,153.7,99.7,94.12,2.68,2022-07
2022-07-06,1025,51289.23,47,2.42,141.0,99.73,76.98,2.87,2022-07
2022-07-07,1087,54368.15,37,2.69,163.9,99.84,78.92,2.56,2022-07
2022-07-08,1121,56052.19,44,2.4,169.6,99.75,81.43,1.58,2022-07
2022-07-09,1009,50477.14,42,2.72,149.4,99.76,82.61,3.0,2022-07
2022-07-10,979,48980.1,43,2.57,115.6,99.67,83.53,2.66,2022-07
2022-07-11,1053,52674.56,48,2.26,144.2,99.56,85.88,2.4,2022-07
2022-07-12,1049,52497.61,38,2.59,170.5,100.0,84.11,3.27,2022-07
2022-07-13,1020,51040.11,58,2.84,161.2,99.74,84.34,2.27,2022-07
2022-07-14,974,48725.39,46,1.97,137.1,99.46,81.54,3.35,2022-07
2022-07-15,1046,52331.4,51,2.57,158.6,99.53,86.2,3.37,2022-07
2022-07-16,981,49073.98,51,2.06,143.7,98.61,81.25,2.85,2022-07
2022-07-17,1046,52313.73,45,2.71,175.3,99.71,89.64,3.14,2022-07
2022-07-18,987,49372.33,45,2.29,144.7,99.07,83.29,3.07,2022-07
2022-07-19,928,46411.64,50,2.69,145.9,99.98,81.64,3.1,2022-07
2022-07-20,1018,50942.84,58,2.69,128.6,99.36,83.57,2.22,2022-07
2022-07-21,1023,51174.67,56,2.41,120.4,99.32,92.42,3.19,2022-07
2022-07-22,922,46145.2,67,2.74,156.0,99.52,81.37,3.37,2022-07
2022-07-23,1043,52154.34,53,2.15,137.5,99.5,77.27,3.63,2022-07
2022-07-24,1035,51769.47,51,3.03,143.2,99.37,78.91,3.51,2022-07
2022-07-25,863,43160.17,49,2.62,188.2,99.99,91.43,2.96,2022-07
2022-07-26,1109,55498.06,56,3.34,161.2,99.86,85.57,3.37,2022-07
2022-07-27,983,49187.59,48,3.0,151.6,99.81,79.94,3.12,2022-07
2022-07-28,982,49130.05,53,2.13,150.1,99.38,82.66,2.51,2022-07
2022-07-29,1033,51685.37,60,2.28,135.7,99.8,90.18,2.85,2022-07
2022-07-30,1013,50695.92,41,2.38,168.3,99.65,80.98,3.12,2022-07
2022-07-31,1114,55714.11,44,2.53,156.2,99.43,84.68,2.94,2022-07
2022-08-01,937,46899.71,55,2.44,162.9,99.19,86.53,3.23,2022-08
2022-08-02,1026,51340.3,63,1.89,186.7,99.28,86.08,3.45,2022-08
2022-08-03,975,48762.53,55,2.08,178.4,99.31,85.7,2.35,2022-08
2022-08-04,1043,52166.62,51,2.61,169.0,99.41,98.0,2.12,2022-08
2022-08-05,1042,52100.48,54,2.14,136.5,99.72,81.54,3.97,2022-08
2022-08-06,928,46444.48,56,2.3,120.0,99.49,84.31,3.26,2022-08
2022-08-07,1010,50503.24,61,2.75,192.0,99.58,83.62,2.69,2022-08
2022-08-08,961,48089.33,42,2.05,148.4,99.45,87.19,3.75,2022-08
2022-08-09,1055,52788.92,44,2.27,164.3,99.27,84.92,3.13,2022-08
2022-08-10,907,45360.79,40,2.6,127.6,99.4,86.31,2.88,2022-08
2022-08-11,978,48932.62,40,2.72,136.8,99.44,85.18,3.29,2022-08
2022-08-12,1001,50074.17,58,2.3,130.2,99.42,81.54,2.8,2022-08
2022-08-13,984,49206.57,53,2.42,120.4,99.95,97.85,2.13,2022-08
2022-08-14,1045,52278.74,45,2.49,137.9,99.19,85.06,3.4,2022-08
2022-08-15,1005,50270.5,48,2.14,137.3,99.59,89.21,3.27,2022-08
2022-08-16,965,48298.65,42,2.48,120.1,99.23,83.39,3.17,2022-08
2022-08-17,970,48539.46,43,3.27,165.0,100.0,81.86,2.03,2022-08
2022-08-18,947,47386.57,54,2.98,122.2,99.35,91.77,3.87,2022-08
2022-08-19,988,49414.93,42,2.02,139.8,99.14,82.77,2.96,2022-08
2022-08-20,1025,51250.32,47,2.05,136.9,99.7,88.98,2.35,2022-08
2022-08-21,1087,54369.33,44,2.64,148.9,99.29,92.71,3.37,2022-08
2022-08-22,1007,50366.43,57,2.67,155.9,99.27,82.39,3.54,2022-08
2022-08-23,913,45672.43,53,2.33,169.2,99.1,77.85,2.89,2022-08
2022-08-24,972,48622.27,47,2.79,156.2,99.81,87.64,3.01,2022-08
2022-08-25,1003,50182.06,53,2.67,153.0,98.99,81.14,3.02,2022-08
2022-08-26,1030,51536.77,50,2.34,187.0,99.43,94.53,3.69,2022-08
2022-08-27,961,48062.87,56,3.06,192.7,99.74,83.39,3.53,2022-08
2022-08-28,1040,52034.0,53,2.93,165.4,99.54,76.26,2.9,2022-08
2022-08-29,900,45001.93,54,2.95,132.0,99.64,87.66,2.53,2022-08
2022-08-30,907,45384.87,44,3.02,169.0,99.78,88.03,2.52,2022-08
2022-08-31,954,47723.56,55,2.61,123.0,99.57,86.62,3.18,2022-08
2022-09-01,999,49974.03,48,2.19,132.1,99.01,78.85,3.21,2022-09
2022-09-02,947,47366.31,45,2.2,152.1,98.95,90.12,2.71,2022-09
2022-09-03,940,47004.8,42,2.62,111.0,99.45,81.2,3.51,2022-09
2022-09-04,855,42777.03,47,2.39,155.1,99.16,82.82,2.51,2022-09
2022-09-05,970,48539.06,55,2.69,145.9,99.64,91.56,2.48,2022-09
2022-09-06,1132,56610.98,59,2.21,137.2,99.44,86.27,1.8,2022-09
2022-09-07,930,46520.98,61,2.51,178.7,99.49,84.21,3.91,2022-09
2022-09-08,1056,52806.15,44,2.58,145.4,99.96,86.94,3.25,2022-09
2022-09-09,960,48041.91,60,2.46,148.0,99.76,85.65,3.01,2022-09
2022-09-10,985,49251.77,61,2.78,197.2,99.51,85.67,2.32,2022-09
2022-09-11,973,48662.81,50,2.3,150.1,99.61,80.83,3.08,2022-09
2022-09-12,989,49462.41,41,2.2,143.7,99.82,82.05,2.68,2022-09
2022-09-13,965,48268.06,39,2.0,139.4,99.73,79.32,2.55,2022-09
2022-09-14,942,47102.66,46,2.41,153.5,99.47,83.29,3.03,2022-09
2022-09-15,998,49943.17,42,2.38,160.4,99.33,83.13,2.86,2022-09
2022-09-16,1011,50587.64,40,2.42,158.9,99.27,83.3,3.38,2022-09
2022-09-17,893,44693.55,51,2.26,184.3,100.0,78.36,2.44,2022-09
2022-09-18,934,46749.88,57,2.18,122.9,99.87,85.93,2.66,2022-09
2022-09-19,948,47407.57,56,3.04,122.0,99.68,83.44,2.8,2022-09
2022-09-20,960,48040.44,59,2.25,147.2,99.33,82.86,2.52,2022-09
2022-09-21,986,49320.35,57,2.47,159.3,99.46,80.86,2.98,2022-09
2022-09-22,1081,54080.22,60,2.6,158.5,99.47,83.9,3.04,2022-09
2022-09-23,935,46796.57,66,2.8,171.1,99.71,86.44,2.09,2022-09
2022-09-24,1003,50157.08,52,2.52,152.4,99.65,85.35,3.48,2022-09
2022-09-25,942,47120.73,41,2.64,143.9,99.07,70.0,3.43,2022-09
2022-09-26,1033,51683.93,38,2.27,151.3,99.39,77.53,2.74,2022-09
2022-09-27,938,46944.99,42,2.61,116.8,99.09,84.39,2.96,2022-09
2022-09-28,928,46408.23,60,2.6,146.6,99.43,83.27,3.68,2022-09
2022-09-29,994,49745.12,60,2.14,142.4,100.0,87.98,3.25,2022-09
2022-09-30,985,49280.98,33,2.3,160.9,99.26,72.28,2.79,2022-09
2022-10-01,893,44671.7,52,2.78,207.3,99.13,80.12,2.85,2022-10
2022-10-02,1017,50850.36,55,2.88,118.8,99.23,78.81,2.51,2022-10
2022-10-03,1019,50985.41,48,2.34,166.2,99.51,84.81,3.22,2022-10
2022-10-04,928,46400.11,44,2.27,154.5,99.56,92.38,3.02,2022-10
2022-10-05,938,46902.31,48,2.39,152.0,99.44,88.69,2.3,2022-10
2022-10-06,982,49133.54,54,2.55,157.7,99.34,89.67,2.75,2022-10
2022-10-07,944,47242.94,48,2.63,152.7,99.68,93.75,3.09,2022-10
2022-10-08,963,48188.53,58,2.37,180.3,99.72,85.27,3.45,2022-10
2022-10-09,1024,51208.19,56,2.9,150.3,99.37,81.77,3.34,2022-10
2022-10-10,991,49595.35,46,2.46,186.2,99.66,88.68,3.13,2022-10
2022-10-11,1032,51635.69,69,2.6,184.1,99.66,78.19,4.06,2022-10
2022-10-12,1027,51379.73,51,3.13,159.7,99.36,93.86,2.2,2022-10
2022-10-13,982,49118.18,45,2.48,150.0,99.55,80.12,3.58,2022-10
2022-10-14,985,49265.9,53,3.14,179.0,99.77,92.27,2.97,2022-10
2022-10-15,940,47017.13,51,2.89,152.3,99.56,83.93,2.96,2022-10
2022-10-16,983,49198.2,60,2.34,129.4,99.84,98.0,4.25,2022-10
2022-10-17,963,48158.99,47,2.58,145.5,99.38,78.34,3.34,2022-10
2022-10-18,998,49905.29,39,2.63,145.1,98.84,82.17,1.75,2022-10
2022-10-19,1089,54485.64,53,2.86,196.6,99.64,89.36,2.32,2022-10
2022-10-20,960,48031.51,51,2.64,169.1,99.37,79.05,3.92,2022-10
2022-10-21,919,45989.52,53,3.25,146.6,99.66,84.05,2.83,2022-10
2022-10-22,1066,53302.22,52,2.42,126.6,99.53,84.69,3.1,2022-10
2022-10-23,1005,50253.71,44,2.7,150.3,99.73,98.0,1.45,2022-10
2022-10-24,983,49197.62,48,2.37,132.6,99.05,93.84,2.33,2022-10
2022-10-25,885,44264.4,49,2.73,115.3,99.49,86.59,2.96,2022-10
2022-10-26,985,49270.78,46,2.83,152.0,99.37,85.32,3.21,2022-10
2022-10-27,958,47921.32,43,2.49,171.0,99.38,89.47,2.77,2022-10
2022-10-28,980,49018.72,50,2.92,167.2,99.46,82.08,3.14,2022-10
2022-10-29,951,47576.54,51,2.77,165.1,99.16,77.41,3.17,2022-10
2022-10-30,1016,50833.12,52,2.64,153.5,99.47,89.86,2.87,2022-10
2022-10-31,1001,50078.72,43,2.56,150.4,98.94,82.08,1.98,2022-10
2022-11-01,969,48477.84,54,2.41,144.1,99.82,81.52,3.59,2022-11
2022-11-02,963,48179.8,49,2.66,151.0,98.94,79.09,3.75,2022-11
2022-11-03,954,47703.49,37,2.69,153.2,99.78,80.41,2.7,2022-11
2022-11-04,941,47088.91,49,2.43,169.1,99.33,82.88,3.58,2022-11
2022-11-05,944,47215.86,62,2.21,136.0,99.89,85.42,3.93,2022-11
2022-11-06,976,48804.83,53,2.03,139.2,99.17,88.59,2.98,2022-11
2022-11-07,939,46976.72,50,2.57,151.6,99.88,82.73,2.61,2022-11
2022-11-08,879,43953.98,53,2.75,147.6,99.42,86.63,2.25,2022-11
2022-11-09,994,49716.95,45,2.56,141.7,99.58,82.06,3.32,2022-11
2022-11-10,963,48173.82,63,2.64,165.0,100.0,83.19,2.97,2022-11
2022-11-11,1102,55136.45,46,2.37,174.2,99.12,73.84,2.51,2022-11
2022-11-12,952,47609.04,33,2.48,139.6,99.09,83.97,2.59,2022-11
2022-11-13,932,46608.69,38,2.77,100.0,99.5,81.68,3.83,2022-11
2022-11-14,963,48173.91,31,2.63,168.7,99.88,79.68,2.42,2022-11
2022-11-15,948,47435.17,50,2.59,143.9,98.86,76.0,3.65,2022-11
2022-11-16,940,47041.84,45,2.89,149.5,99.23,88.83,2.53,2022-11
2022-11-17,1005,50271.72,57,3.1,150.4,98.87,85.9,2.92,2022-11
2022-11-18,1037,51899.54,47,2.43,138.9,99.92,86.1,2.08,2022-11
2022-11-19,950,47536.28,50,2.85,124.1,99.42,84.55,2.66,2022-11
2022-11-20,948,47439.41,40,2.47,186.0,99.52,78.69,2.71,2022-11
2022-11-21,966,48333.29,49,2.56,153.5,99.4,86.19,3.32,2022-11
2022-11-22,974,48747.56,58,2.83,175.6,99.32,82.64,4.22,2022-11
2022-11-23,949,47456.32,57,2.96,153.7,99.83,81.63,3.15,2022-11
2022-11-24,1007,50389.74,55,2.89,188.7,99.15,86.25,2.15,2022-11
2022-11-25,1012,50619.06,54,2.53,164.1,99.72,84.72,3.24,2022-11
2022-11-26,1039,51955.97,46,2.62,132.9,99.54,79.87,3.57,2022-11
2022-11-27,1002,50142.67,53,2.59,137.5,99.76,75.82,2.78,2022-11
